"","id","cs","subject_nr","resp_format","cs_valence","us_valence","cs_id","prerating","prerating_RT","postrating","postrating_RT","vm","rkg","vm_RT","rkg_RT","vm_correct","im_resp","im_opt","im_RT","im_correct","PD_practice_runs","PD_practice_correct","pd_RT","pd_resp","pd_set","material","cstype","PDprac_correct","PDprac_errors","ec","ec_abs","imcor","vmcor","vmconf","pdset","Proportion.Set1","Proportion.pleasant","pd_correct","pdcor","explicit","expl","RK_practice_runs","RK_practice_correct","RKprac_correct","RKprac_errors","conf","vmpos"
"14",1,"HM30.bmp","10","Control","neutral","none","[cs_neutral_14]",11,2725,9,1804,"-1","G",1842,814,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-2,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"15",1,"HM31.bmp","10","Control","neutral","negative","[cs_neutral_21]",12,3777,14,2185,"-1","G",1988,742,TRUE,1,"9171.jpg",2739,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,2,-2,1,1,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"16",1,"HM34.bmp","10","Control","neutral","positive","[cs_neutral_7]",9,5501,9,2246,"2","G",4910,1419,TRUE,2,"2092.jpg",6146,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,0,1,1,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"17",1,"HM35.bmp","10","Control","positive","positive","[cs_positive_3]",4,3625,7,1682,"1","G",2997,1206,TRUE,3,"1947.jpg",1445,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,3,3,1,1,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"18",1,"HM36.bmp","10","Control","neutral","none","[cs_neutral_15]",11,4087,7,1703,"1","G",3101,968,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-4,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"19",1,"HM39.bmp","10","Control","neutral","positive","[cs_neutral_8]",9,1806,12,1398,"-1","G",4827,769,FALSE,4,"5661.jpg",5976,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,3,3,1,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"20",1,"HM41.bmp","10","Control","positive","positive","[cs_positive_2]",3,2284,9,2913,"-1","K",6104,1049,FALSE,4,"4538.jpg",5259,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,6,6,1,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"21",1,"HM43.bmp","10","Control","positive","none","[cs_positive_4]",4,6365,3,1762,"-1","G",3207,725,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,-1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"22",1,"HM44.bmp","10","Control","positive","none","[cs_positive_5]",4,3361,3,1900,"-1","G",3821,1105,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,-1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"23",1,"HM45.bmp","10","Control","positive","none","[cs_positive_6]",4,2031,5,1769,"-1","G",2954,1297,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
