"","id","cs","Instruction","Material","CS_Valence","US_Valence","Pairing","prerating","prerating_RT","postrating","postrating_RT","pdset","pdval","pd_RT","vmval","vmconf","vm_correct","vm_RT","RKG","rkg_RT","im_correct","im_RT"
"38","1","HW35.bmp","Control","faces","negative","negative","paired",4,3824,5,2234,NA,NA,NA,"negative",3,TRUE,2009,"R",4193,TRUE,1613
"39","1","HW36.bmp","Control","faces","positive","negative","paired",18,2260,19,1755,NA,NA,NA,"negative",3,TRUE,1300,"R",1089,TRUE,3647
"40","1","HW44.bmp","Control","faces","neutral","none","nonpaired",10,1931,14,2998,NA,NA,NA,"positive",1,FALSE,2849,"G",1059,NA,NA
"41","1","HW47.bmp","Control","faces","neutral","negative","paired",11,2282,12,1932,NA,NA,NA,"negative",3,TRUE,2239,"R",1001,TRUE,2053
"42","1","HW49.bmp","Control","faces","positive","positive","paired",16,2667,13,1540,NA,NA,NA,"negative",1,FALSE,2408,"G",964,TRUE,6873
"43","2","HM02.bmp","Control","faces","neutral","negative","paired",13,2773,14,2224,NA,NA,NA,"positive",2,FALSE,1267,"R",654,TRUE,12325
"44","2","HM04.bmp","Control","faces","positive","negative","paired",17,4134,16,6430,NA,NA,NA,"positive",3,FALSE,2787,"R",812,TRUE,2145
"45","2","HM05.bmp","Control","faces","positive","negative","paired",17,2082,17,1802,NA,NA,NA,"positive",3,FALSE,1314,"R",828,TRUE,2750
"46","2","HM06.bmp","Control","faces","negative","negative","paired",5,2183,0,2566,NA,NA,NA,"negative",3,TRUE,1360,"R",1186,TRUE,1808
"47","2","HM13.bmp","Control","faces","negative","positive","paired",3,3291,14,1955,NA,NA,NA,"positive",3,TRUE,3403,"G",1121,TRUE,7113
"48","2","HM19.bmp","Control","faces","neutral","positive","paired",10,2467,17,3431,NA,NA,NA,"positive",3,TRUE,2092,"R",842,TRUE,3812
"49","2","HM25.bmp","Control","faces","neutral","none","nonpaired",12,2653,9,5781,NA,NA,NA,"positive",1,FALSE,3164,"G",1919,NA,NA
"50","2","HM27.bmp","Control","faces","neutral","none","nonpaired",10,1802,10,3007,NA,NA,NA,"positive",1,FALSE,1977,"R",709,NA,NA
"51","2","HM38.bmp","Control","faces","negative","positive","paired",3,7917,15,1978,NA,NA,NA,"positive",1,TRUE,1882,"K",796,TRUE,5419
"52","2","HM40.bmp","Control","faces","neutral","none","nonpaired",11,3235,10,3114,NA,NA,NA,"positive",1,FALSE,5855,"G",2477,NA,NA
"53","2","HM41.bmp","Control","faces","neutral","negative","paired",12,1865,15,1697,NA,NA,NA,"positive",2,FALSE,2114,"K",768,TRUE,3947
"54","2","HM42.bmp","Control","faces","neutral","negative","paired",12,2416,16,2384,NA,NA,NA,"positive",3,FALSE,1104,"R",678,TRUE,8779
"55","2","HM44.bmp","Control","faces","neutral","positive","paired",9,2465,16,2040,NA,NA,NA,"positive",3,TRUE,1235,"R",1209,FALSE,6921
"56","2","HM45.bmp","Control","faces","negative","none","nonpaired",3,4465,9,2727,NA,NA,NA,"positive",1,FALSE,1546,"G",4238,NA,NA
"57","2","HM46.bmp","Control","faces","neutral","negative","paired",12,2280,17,1840,NA,NA,NA,"positive",3,FALSE,1672,"R",1992,TRUE,6923
"58","2","HM48.bmp","Control","faces","positive","positive","paired",15,2314,18,3337,NA,NA,NA,"positive",3,TRUE,2997,"R",1301,TRUE,2993
"59","2","HM49.bmp","Control","faces","negative","none","nonpaired",4,3711,6,2206,NA,NA,NA,"negative",3,FALSE,4213,"K",1286,NA,NA
"60","2","HM50.bmp","Control","faces","negative","none","nonpaired",4,2085,7,2902,NA,NA,NA,"negative",2,FALSE,24335,"K",4010,NA,NA
"61","2","HW02.bmp","Control","faces","positive","none","nonpaired",16,2526,14,4164,NA,NA,NA,"positive",3,FALSE,1483,"R",1401,NA,NA
"62","2","HW08.bmp","Control","faces","neutral","positive","paired",9,2280,9,4057,NA,NA,NA,"negative",1,FALSE,5515,"G",1372,TRUE,2120
"63","2","HW09.bmp","Control","faces","neutral","positive","paired",9,4052,15,1799,NA,NA,NA,"positive",2,TRUE,1650,"R",694,FALSE,3564
"64","2","HW10.bmp","Control","faces","neutral","positive","paired",9,3960,15,3469,NA,NA,NA,"positive",2,TRUE,3898,"R",1095,FALSE,4949
"65","2","HW12.bmp","Control","faces","neutral","negative","paired",12,2169,15,2742,NA,NA,NA,"positive",2,FALSE,2807,"R",782,TRUE,2643
"66","2","HW14.bmp","Control","faces","neutral","positive","paired",9,3529,13,2259,NA,NA,NA,"positive",2,TRUE,2429,"K",3552,TRUE,5590
"67","2","HW16.bmp","Control","faces","positive","none","nonpaired",16,2059,16,2715,NA,NA,NA,"positive",3,FALSE,1252,"R",651,NA,NA
"68","2","HW17.bmp","Control","faces","neutral","negative","paired",12,3502,9,1801,NA,NA,NA,"positive",1,FALSE,1548,"R",827,TRUE,6766
"69","2","HW18.bmp","Control","faces","neutral","none","nonpaired",11,1564,11,1523,NA,NA,NA,"positive",1,FALSE,7412,"K",1669,NA,NA
"70","2","HW20.bmp","Control","faces","neutral","positive","paired",9,5755,5,1629,NA,NA,NA,"negative",3,FALSE,1923,"R",946,TRUE,1823
"71","2","HW21.bmp","Control","faces","positive","none","nonpaired",15,2173,12,3230,NA,NA,NA,"positive",2,FALSE,2147,"R",781,NA,NA
"72","2","HW25.bmp","Control","faces","neutral","none","nonpaired",10,1498,10,3530,NA,NA,NA,"positive",2,FALSE,1946,"R",1032,NA,NA
"73","2","HW27.bmp","Control","faces","neutral","none","nonpaired",11,2176,10,2628,NA,NA,NA,"positive",1,FALSE,1484,"K",5569,NA,NA
"74","2","HW29.bmp","Control","faces","positive","positive","paired",14,3921,15,1741,NA,NA,NA,"positive",3,TRUE,2784,"K",946,FALSE,5846
"75","2","HW30.bmp","Control","faces","negative","negative","paired",4,3869,3,1903,NA,NA,NA,"negative",3,TRUE,1168,"R",900,TRUE,9602
